slug,url
barr-announces-awards-to-15-boston-arts-organizations-under-new-grant-progr,https://www.barrfoundation.org/blog/barr-announces-awards-to-15-boston-arts-organizations-under-new-grant-progr
barr-announces-director-of-learning-and-evaluation,https://www.barrfoundation.org/blog/barr-announces-director-of-learning-and-evaluation
barr-announces-first-cohort-of-partners-in-30-million-engage-new-england-doing-high-school-differently-initiative,https://www.barrfoundation.org/blog/barr-announces-first-cohort-of-partners-in-30-million-engage-new-england-doing-high-school-differently-initiative
barr-announces-new-effort-to-amplify-arts,https://www.barrfoundation.org/blog/barr-announces-new-effort-to-amplify-arts
barr-announces-new-grants-to-drive-toward-educator-diversity,https://www.barrfoundation.org/blog/barr-announces-new-grants-to-drive-toward-educator-diversity
barr-announces-request-for-proposals-as-part-of-waterfront-initiative,https://www.barrfoundation.org/blog/barr-announces-request-for-proposals-as-part-of-waterfront-initiative
barr-announces-rfp-for-cohort-2-of-the-engage-new-england-initiative,https://www.barrfoundation.org/blog/barr-announces-rfp-for-cohort-2-of-the-engage-new-england-initiative
barr-announces-rfp-for-cohort-three-of-the-engage-new-england-initiative,https://www.barrfoundation.org/blog/barr-announces-rfp-for-cohort-three-of-the-engage-new-england-initiative
barr-awards-1-26-million-for-the-new-england-civil-rights-fund,https://www.barrfoundation.org/blog/barr-awards-1-26-million-for-the-new-england-civil-rights-fund
barr-awards-1-36-million-to-nonprofits-supporting-black-communities-in-response-to-covid-19,https://www.barrfoundation.org/blog/barr-awards-1-36-million-to-nonprofits-supporting-black-communities-in-response-to-covid-19
barr-awards-12-million-in-second-quarter-of-2020,https://www.barrfoundation.org/blog/barr-awards-12-million-in-second-quarter-of-2020
barr-awards-13-7-million-in-fourth-quarter-of-2018,https://www.barrfoundation.org/blog/barr-awards-13-7-million-in-fourth-quarter-of-2018
barr-awards-13-9-million-in-first-quarter-of-2021,https://www.barrfoundation.org/blog/barr-awards-13-9-million-in-first-quarter-of-2021
barr-awards-14-2-million-in-second-quarter-of-2017,https://www.barrfoundation.org/blog/barr-awards-14-2-million-in-second-quarter-of-2017
barr-awards-15-9-million-in-third-quarter-of-2017,https://www.barrfoundation.org/blog/barr-awards-15-9-million-in-third-quarter-of-2017
barr-awards-15-million-second-quarter-2018,https://www.barrfoundation.org/blog/barr-awards-15-million-second-quarter-2018
barr-awards-16-million-in-first-quarter-of-2019,https://www.barrfoundation.org/blog/barr-awards-16-million-in-first-quarter-of-2019
barr-awards-17-2-million-in-second-quarter-of-2022,https://www.barrfoundation.org/blog/barr-awards-17-2-million-in-second-quarter-of-2022
barr-awards-17-million-in-second-quarter-of-2019,https://www.barrfoundation.org/blog/barr-awards-17-million-in-second-quarter-of-2019
barr-awards-18-5-million-in-third-quarter-of-2020,https://www.barrfoundation.org/blog/barr-awards-18-5-million-in-third-quarter-of-2020
barr-awards-20-7-million-in-second-quarter-of-2021,https://www.barrfoundation.org/blog/barr-awards-20-7-million-in-second-quarter-of-2021
barr-awards-20-million-in-first-quarter-of-2023,https://www.barrfoundation.org/blog/barr-awards-20-million-in-first-quarter-of-2023
barr-awards-23-8-million-in-new-grants,https://www.barrfoundation.org/blog/barr-awards-23-8-million-in-new-grants
barr-awards-24-6-million-in-fourth-quarter-of-2020,https://www.barrfoundation.org/blog/barr-awards-24-6-million-in-fourth-quarter-of-2020
barr-awards-24-million-in-first-quarter-of-2018,https://www.barrfoundation.org/blog/barr-awards-24-million-in-first-quarter-of-2018
barr-awards-25-8-million-in-third-quarter-of-2018,https://www.barrfoundation.org/blog/barr-awards-25-8-million-in-third-quarter-of-2018
barr-awards-25-million-in-final-quarter-of-2019,https://www.barrfoundation.org/blog/barr-awards-25-million-in-final-quarter-of-2019
barr-awards-27-1-million-in-first-quarter-of-2022,https://www.barrfoundation.org/blog/barr-awards-27-1-million-in-first-quarter-of-2022
barr-awards-30-9-million-in-third-quarter-of-2021,https://www.barrfoundation.org/blog/barr-awards-30-9-million-in-third-quarter-of-2021
barr-awards-32-7-million-in-third-quarter-grants,https://www.barrfoundation.org/blog/barr-awards-32-7-million-in-third-quarter-grants
barr-awards-35-7-million-in-final-quarter-of-2022,https://www.barrfoundation.org/blog/barr-awards-35-7-million-in-final-quarter-of-2022
barr-awards-36-7-million-in-fourth-quarter-grants,https://www.barrfoundation.org/blog/barr-awards-36-7-million-in-fourth-quarter-grants
barr-awards-43-2-million-in-fourth-quarter-of-2021,https://www.barrfoundation.org/blog/barr-awards-43-2-million-in-fourth-quarter-of-2021
barr-awards-50-3-million-in-third-quarter-of-2022,https://www.barrfoundation.org/blog/barr-awards-50-3-million-in-third-quarter-of-2022
barr-commits-2-million-for-vaccine-equity-efforts,https://www.barrfoundation.org/blog/barr-commits-2-million-for-vaccine-equity-efforts
barr-commits-2-million-to-immigrant-serving-organizations,https://www.barrfoundation.org/blog/barr-commits-2-million-to-immigrant-serving-organizations
barr-equity-journey,https://www.barrfoundation.org/blog/barr-equity-journey
barr-expands-its-office-space,https://www.barrfoundation.org/blog/barr-expands-its-office-space
barr-fellow-at-the-white-house,https://www.barrfoundation.org/blog/barr-fellow-at-the-white-house
barr-foundation-2007-grantee-perception-report,https://www.barrfoundation.org/blog/barr-foundation-2007-grantee-perception-report
barr-foundation-announces-13-3-million-in-new-grants,https://www.barrfoundation.org/blog/barr-foundation-announces-13-3-million-in-new-grants
barr-foundation-announces-13-4-million-in-new-grants,https://www.barrfoundation.org/blog/barr-foundation-announces-13-4-million-in-new-grants
barr-foundation-announces-16-6-million-in-new-grants,https://www.barrfoundation.org/blog/barr-foundation-announces-16-6-million-in-new-grants
barr-foundation-announces-20-6-million-in-new-grants,https://www.barrfoundation.org/blog/barr-foundation-announces-20-6-million-in-new-grants
barr-foundation-announces-28-5-million-in-new-grants,https://www.barrfoundation.org/blog/barr-foundation-announces-28-5-million-in-new-grants
barr-foundation-announces-4-15-million-in-new-grantmaking-centered-on-racial-equity,https://www.barrfoundation.org/blog/barr-foundation-announces-4-15-million-in-new-grantmaking-centered-on-racial-equity
barr-foundation-appoints-two-new-trustees,https://www.barrfoundation.org/blog/barr-foundation-appoints-two-new-trustees
barr-foundation-appoints-two-new-trustees-2019,https://www.barrfoundation.org/blog/barr-foundation-appoints-two-new-trustees-2019
barr-foundation-awards-13-7-million-in-second-quarter-of-2023,https://www.barrfoundation.org/blog/barr-foundation-awards-13-7-million-in-second-quarter-of-2023
barr-foundation-awards-over-26-million-in-third-quarter-of-2019,https://www.barrfoundation.org/blog/barr-foundation-awards-over-26-million-in-third-quarter-of-2019
barr-foundation-expands-climate-program,https://www.barrfoundation.org/blog/barr-foundation-expands-climate-program
barr-foundation-extends-commitment-to-boston-waterfront,https://www.barrfoundation.org/blog/barr-foundation-extends-commitment-to-boston-waterfront
barr-foundation-gpr-results,https://www.barrfoundation.org/blog/barr-foundation-gpr-results
barr-foundation-names-lynn-harwell-as-vice-president-for-administration,https://www.barrfoundation.org/blog/barr-foundation-names-lynn-harwell-as-vice-president-for-administration
barr-foundation-names-new-education-program-officer,https://www.barrfoundation.org/blog/barr-foundation-names-new-education-program-officer
barr-foundation-names-roger-nozaki-as-vice-president,https://www.barrfoundation.org/blog/barr-foundation-names-roger-nozaki-as-vice-president
barr-foundation-racial-justice-analysis,https://www.barrfoundation.org/blog/barr-foundation-racial-justice-analysis
barr-grantees-setting-tables-for-robust-civic-engagement,https://www.barrfoundation.org/blog/barr-grantees-setting-tables-for-robust-civic-engagement
barr-launches-new-initiative-to-support-off-track-youth,https://www.barrfoundation.org/blog/barr-launches-new-initiative-to-support-off-track-youth
barr-quarterly-newsletter-archive,https://www.barrfoundation.org/blog/barr-quarterly-newsletter-archive
barr-renews-commitment-to-signature-leadership-program,https://www.barrfoundation.org/blog/barr-renews-commitment-to-signature-leadership-program
barr-s-new-climate-resilience-strategies,https://www.barrfoundation.org/blog/barr-s-new-climate-resilience-strategies
barr-seeks-arts-creativity-program-associate,https://www.barrfoundation.org/blog/barr-seeks-arts-creativity-program-associate
barr-seeks-proposals-from-innovative-schools-and-programs,https://www.barrfoundation.org/blog/barr-seeks-proposals-from-innovative-schools-and-programs
barr-welcomes-nea-chairman-jane-chu-to-boston,https://www.barrfoundation.org/blog/barr-welcomes-nea-chairman-jane-chu-to-boston
barrs-rahn-dorsey-appointed-bostons-first-chief-of-education,https://www.barrfoundation.org/blog/barrs-rahn-dorsey-appointed-bostons-first-chief-of-education
bca-takes-an-artistic-risk,https://www.barrfoundation.org/blog/bca-takes-an-artistic-risk
because-we-all-love-our-children,https://www.barrfoundation.org/blog/because-we-all-love-our-children
beyond-silver-bullets-the-levers-for-change,https://www.barrfoundation.org/blog/beyond-silver-bullets-the-levers-for-change
beyond-the-grant,https://www.barrfoundation.org/blog/beyond-the-grant
big-ideas-from-boston-mobility-summit,https://www.barrfoundation.org/blog/big-ideas-from-boston-mobility-summit
big-returns-for-investing-in-renewable-energy,https://www.barrfoundation.org/blog/big-returns-for-investing-in-renewable-energy
board-time-three-keys-to-strategic-engagement,https://www.barrfoundation.org/blog/board-time-three-keys-to-strategic-engagement
bold-aspirations-for-boston-future,https://www.barrfoundation.org/blog/bold-aspirations-for-boston-future
boston-arts-audience-diversification,https://www.barrfoundation.org/blog/boston-arts-audience-diversification
boston-brt-bus-station-design-competition,https://www.barrfoundation.org/blog/boston-brt-bus-station-design-competition
boston-businesses-show-art-of-possible-on-climate-action,https://www.barrfoundation.org/blog/boston-businesses-show-art-of-possible-on-climate-action
boston-digs-in-to-new-report-on-social-sector-s-future,https://www.barrfoundation.org/blog/boston-digs-in-to-new-report-on-social-sector-s-future
boston-elects-new-mayor,https://www.barrfoundation.org/blog/boston-elects-new-mayor
boston-globe-to-deepen-reporting-on-education,https://www.barrfoundation.org/blog/boston-globe-to-deepen-reporting-on-education
boston-green-and-healthy-building-network,https://www.barrfoundation.org/blog/boston-green-and-healthy-building-network
boston-hospitals-achieve-healthy-reductions-in-energy-consumption,https://www.barrfoundation.org/blog/boston-hospitals-achieve-healthy-reductions-in-energy-consumption
boston-interfaith-community-solar-project,https://www.barrfoundation.org/blog/boston-interfaith-community-solar-project
boston-launches-first-ever-cultural-planning-process,https://www.barrfoundation.org/blog/boston-launches-first-ever-cultural-planning-process
boston-mobility-future,https://www.barrfoundation.org/blog/boston-mobility-future
boston-needs-to-invest-in-a-new-generation-of-artists,https://www.barrfoundation.org/blog/boston-needs-to-invest-in-a-new-generation-of-artists
boston-preparing-for-climate-change-storms-ahead,https://www.barrfoundation.org/blog/boston-preparing-for-climate-change-storms-ahead
boston-public-schools-showcase-innovation-amid-ongoing-challenges,https://www.barrfoundation.org/blog/boston-public-schools-showcase-innovation-amid-ongoing-challenges
boston-s-art-s-moment,https://www.barrfoundation.org/blog/boston-s-art-s-moment
boston-teacher-residency-model-for-success,https://www.barrfoundation.org/blog/boston-teacher-residency-model-for-success
boston-theater-offensive-takes-an-artistic-risk,https://www.barrfoundation.org/blog/boston-theater-offensive-takes-an-artistic-risk
boston-utilities-integrate-climate-resilience-and-mitigation,https://www.barrfoundation.org/blog/boston-utilities-integrate-climate-resilience-and-mitigation
boston-voters-value-the-waterfront-ready-for-change,https://www.barrfoundation.org/blog/boston-voters-value-the-waterfront-ready-for-change
building-a-stronger-and-more-diverse-arts-sector,https://www.barrfoundation.org/blog/building-a-stronger-and-more-diverse-arts-sector
building-on-growth-as-we-enter-a-new-decade,https://www.barrfoundation.org/blog/building-on-growth-as-we-enter-a-new-decade
building-on-whats-working-in-early-education-in-boston,https://www.barrfoundation.org/blog/building-on-whats-working-in-early-education-in-boston
building-the-field-of-dreams,https://www.barrfoundation.org/blog/building-the-field-of-dreams
bus-rapid-transit-may-put-transit-excellence-in-reach,https://www.barrfoundation.org/blog/bus-rapid-transit-may-put-transit-excellence-in-reach
bus-rapid-transit-pilot-results-bring-hope-amidst-transportation-crisis,https://www.barrfoundation.org/blog/bus-rapid-transit-pilot-results-bring-hope-amidst-transportation-crisis
buses-next-in-transportation,https://www.barrfoundation.org/blog/buses-next-in-transportation
businesses-and-investors-step-up-on-climate-change,https://www.barrfoundation.org/blog/businesses-and-investors-step-up-on-climate-change
change-from-the-inside-out,https://www.barrfoundation.org/blog/change-from-the-inside-out
charting-a-course-to-universal-high-quality-pre-k,https://www.barrfoundation.org/blog/charting-a-course-to-universal-high-quality-pre-k
charting-a-path-back-to-live-performance,https://www.barrfoundation.org/blog/charting-a-path-back-to-live-performance
chronicle-of-philanthropy-fighting-global-climate-change-requires-foundations-to-give-local,https://www.barrfoundation.org/blog/chronicle-of-philanthropy-fighting-global-climate-change-requires-foundations-to-give-local
clean-energy-powers-3-million-us-jobs,https://www.barrfoundation.org/blog/clean-energy-powers-3-million-us-jobs
climate-resiliency-efforts-in-boston,https://www.barrfoundation.org/blog/climate-resiliency-efforts-in-boston
closing-the-racial-wealth-gap,https://www.barrfoundation.org/blog/closing-the-racial-wealth-gap
collective-action-for-arts-education,https://www.barrfoundation.org/blog/collective-action-for-arts-education
come-together-right-now,https://www.barrfoundation.org/blog/come-together-right-now
communities-find-cleaner-affordable-energy-with-municipal-aggregation,https://www.barrfoundation.org/blog/communities-find-cleaner-affordable-energy-with-municipal-aggregation
community-driven-portrait-graduate-rfp,https://www.barrfoundation.org/blog/community-driven-portrait-graduate-rfp
commuting-by-boat-to-boston-water-transportation-study,https://www.barrfoundation.org/blog/commuting-by-boat-to-boston-water-transportation-study
connecticut-voters-are-ready-for-bold-action-on-climate-and-clean-energy,https://www.barrfoundation.org/blog/connecticut-voters-are-ready-for-bold-action-on-climate-and-clean-energy
connecting-all-students-to-success-in-and-beyond-high-school,https://www.barrfoundation.org/blog/connecting-all-students-to-success-in-and-beyond-high-school
creating-a-communications-culture-barr-ssir,https://www.barrfoundation.org/blog/creating-a-communications-culture-barr-ssir
creating-connection-through-arts-and-creativity,https://www.barrfoundation.org/blog/creating-connection-through-arts-and-creativity
creating-space-for-change-by-asking-why,https://www.barrfoundation.org/blog/creating-space-for-change-by-asking-why
creative-city-artists-are-activating-their-communities,https://www.barrfoundation.org/blog/creative-city-artists-are-activating-their-communities
creative-commonwealth,https://www.barrfoundation.org/blog/creative-commonwealth
creative-commonwealth-initiatives-highlights,https://www.barrfoundation.org/blog/creative-commonwealth-initiatives-highlights
culturehouse-building-resilient-communities,https://www.barrfoundation.org/blog/culturehouse-building-resilient-communities
current-openings,https://www.barrfoundation.org/blog/current-openings
defining-using-a-portrait-of-a-graduate,https://www.barrfoundation.org/blog/defining-using-a-portrait-of-a-graduate
designing-employee-leave-policies-that-reflect-our-values,https://www.barrfoundation.org/blog/designing-employee-leave-policies-that-reflect-our-values
developing-a-new-vision-of-high-school-education,https://www.barrfoundation.org/blog/developing-a-new-vision-of-high-school-education
developing-principles-for-racial-equity-in-grantmaking,https://www.barrfoundation.org/blog/developing-principles-for-racial-equity-in-grantmaking
dismantling-racism-is-everyone-s-work,https://www.barrfoundation.org/blog/dismantling-racism-is-everyone-s-work
districts-an-ambitious-but-achievable-scale-for-energy-transformation,https://www.barrfoundation.org/blog/districts-an-ambitious-but-achievable-scale-for-energy-transformation
diverse-group-of-leaders-advance-united-vision-to-transform-massachusetts-transportation-system,https://www.barrfoundation.org/blog/diverse-group-of-leaders-advance-united-vision-to-transform-massachusetts-transportation-system
don-t-let-the-school-year-go-to-waste,https://www.barrfoundation.org/blog/don-t-let-the-school-year-go-to-waste
doors-open,https://www.barrfoundation.org/blog/doors-open
education-director-wendy-puriefoy-to-leave-barr,https://www.barrfoundation.org/blog/education-director-wendy-puriefoy-to-leave-barr
education-models-worth-expanding,https://www.barrfoundation.org/blog/education-models-worth-expanding
education-week-features-boston-center-creating-second-chances-for-dropouts,https://www.barrfoundation.org/blog/education-week-features-boston-center-creating-second-chances-for-dropouts
eight-questions-with-barr-s-new-director-of-learning-and-evaluation,https://www.barrfoundation.org/blog/eight-questions-with-barr-s-new-director-of-learning-and-evaluation
eight-questions-with-barrs-new-education-program-officer,https://www.barrfoundation.org/blog/eight-questions-with-barrs-new-education-program-officer
elevating-the-arts-in-the-south-coast-of-massachusetts,https://www.barrfoundation.org/blog/elevating-the-arts-in-the-south-coast-of-massachusetts
embracing-openness-to-increase-effectiveness,https://www.barrfoundation.org/blog/embracing-openness-to-increase-effectiveness
embracing-risk-adapting-to-change-during-pandemic,https://www.barrfoundation.org/blog/embracing-risk-adapting-to-change-during-pandemic
embracing-winter-with-creative-ways-to-stay-outdoors,https://www.barrfoundation.org/blog/embracing-winter-with-creative-ways-to-stay-outdoors
empty-seats,https://www.barrfoundation.org/blog/empty-seats
energievergnuegen-the-joy-of-renewable-energy,https://www.barrfoundation.org/blog/energievergnuegen-the-joy-of-renewable-energy
evaluation-in-the-service-of-learning,https://www.barrfoundation.org/blog/evaluation-in-the-service-of-learning
expanding-access-to-a-winning-climate-strategy,https://www.barrfoundation.org/blog/expanding-access-to-a-winning-climate-strategy
expanding-access-to-the-arts-in-rural-berkshire-county,https://www.barrfoundation.org/blog/expanding-access-to-the-arts-in-rural-berkshire-county
experiential-education-in-bostons-pilot-schools-a-three-year-demonstration,https://www.barrfoundation.org/blog/experiential-education-in-bostons-pilot-schools-a-three-year-demonstration
fair-transit-fares-for-an-equitable-and-climate-friendly-future,https://www.barrfoundation.org/blog/fair-transit-fares-for-an-equitable-and-climate-friendly-future
far-from-the-day-to-day-boston-leaders-reflect-connect,https://www.barrfoundation.org/blog/far-from-the-day-to-day-boston-leaders-reflect-connect
filling-the-well-a-podcast-for-creative-changemakers,https://www.barrfoundation.org/blog/filling-the-well-a-podcast-for-creative-changemakers
finding-the-just-in-climate-work,https://www.barrfoundation.org/blog/finding-the-just-in-climate-work
first-deep-look-at-costs-and-benefits-of-northeast-cap-and-trade-scheme-sho,https://www.barrfoundation.org/blog/first-deep-look-at-costs-and-benefits-of-northeast-cap-and-trade-scheme-sho
five-community-driven-actions-for-change-in-arts-and-culture-organizations,https://www.barrfoundation.org/blog/five-community-driven-actions-for-change-in-arts-and-culture-organizations
five-focus-areas-for-schools-navigating-covid-19,https://www.barrfoundation.org/blog/five-focus-areas-for-schools-navigating-covid-19
five-lessons-from-two-decades-of-early-education-grantmaking,https://www.barrfoundation.org/blog/five-lessons-from-two-decades-of-early-education-grantmaking
